postal_code,locality,province,phone_prefix
1761,20 De Junio,Buenos Aires,
6660,25 De Mayo,Buenos Aires,
6405,30 De Agosto,Buenos Aires,
1776,9 De Abril,Buenos Aires,
6500,9 De Julio Estafeta Nº2,Buenos Aires,
6500,9 De Julio (Partido Nueve De Julio),Buenos Aires,
1903,Abasto,Buenos Aires,
7228,Abbott,Buenos Aires,
6450,Abel,Buenos Aires,
8170,Abra De Hinojo,Buenos Aires,
1640,Acassuso,Buenos Aires,
7003,Aceilan,Buenos Aires,
2717,Acevedo,Buenos Aires,
6627,Achupallas,Buenos Aires,
7136,Adela,Buenos Aires,
8000,Adela Corti,Buenos Aires,291
6430,Adolfo Alsina,Buenos Aires,
1901,Adolfo F. Orma (Apeadero F.G.B.),Buenos Aires,
7513,Adolfo Gonzalez Chaves,Buenos Aires,
1612,Adolfo Sourdeaux,Buenos Aires,
1846,Adrogue,Buenos Aires,
1722,Aerodromo Albatros,Buenos Aires,
1802,Aeropuerto Ezeiza,Buenos Aires,
6608,Agote,Buenos Aires,
1746,Agua De Oro,Buenos Aires,
8105,Aguara,Buenos Aires,
2701,Aguas Corrientes,Buenos Aires,
2915,Aguirrezabala,Buenos Aires,
1723,Agustin Ferrari,Buenos Aires,
6667,Agustin Mosconi,Buenos Aires,
6001,Agustin Roca,Buenos Aires,
6001,Agustina,Buenos Aires,
6463,Alagon,Buenos Aires,
6437,Alamos,Buenos Aires,
6703,Alastuey (Apeadero F.C.G.U.),Buenos Aires,
6405,Albariño,Buenos Aires,
6034,Alberdi,Buenos Aires,
6634,Alberti,Buenos Aires,
8101,Aldea Romana,Buenos Aires,
8126,Aldea San Andres,Buenos Aires,
7406,Aldecon,Buenos Aires,
1770,Aldo Bonzi,Buenos Aires,
1987,Alegre,Buenos Aires,
1864,Alejandro Korn,Buenos Aires,
1808,Alejandro Petion (Apeadero Fcgr),Buenos Aires,
6437,Alfa,Buenos Aires,
6555,Alfalad,Buenos Aires,
8117,Alferez San Martin,Buenos Aires,
6533,Alfredo Demarchi,Buenos Aires,
8136,Algarrobo (Pdo.Villarino),Buenos Aires,
1676,Alianza Almacenes,Buenos Aires,
1676,Alianza Talleres,Buenos Aires,
2751,Almacen Castro,Buenos Aires,
2752,Almacen Del Descanso,Buenos Aires,
2751,Almacen El Cruce,Buenos Aires,
2740,Almacen La Colonia,Buenos Aires,
2711,Almacen Piatti,Buenos Aires,
1676,Almacenes Ffcc.Gral.San Martin,Buenos Aires,
1846,Almirante Brown,Buenos Aires,
1629,Almirante Irizar,Buenos Aires,
8109,Almirante Solier,Buenos Aires,
2938,Alsina,Buenos Aires,
8181,Alta Vista,Buenos Aires,
6601,Altamira,Buenos Aires,
1986,Altamirano,Buenos Aires,
1617,Alto Del Talar,Buenos Aires,
2801,Alto Verde,Buenos Aires,
7303,Altona,Buenos Aires,
1806,Altos De Tristan Suarez,Buenos Aires,
7267,Alvarez De Toledo,Buenos Aires,
1921,Alvarez Jonte,Buenos Aires,
7403,Alvaro Barros,Buenos Aires,
7021,Alzaga,Buenos Aires,
6516,Amalia,Buenos Aires,
8508,Ambrosio P. Lezica,Buenos Aires,
6064,Ameghino,Buenos Aires,
6237,America,Buenos Aires,
6607,Anasagasti,Buenos Aires,
6451,Ancon,Buenos Aires,
6555,Andant,Buenos Aires,
6621,Anderson,Buenos Aires,
6634,Andres Vaccarezza,Buenos Aires,
7011,Aneque Grande,Buenos Aires,
1901,Angel Etcheverry,Buenos Aires,
7243,Antonio Carboni,Buenos Aires,
7305,Antonio De Los Heros,Buenos Aires,
8158,Aparicio,Buenos Aires,
1909,Arana,Buenos Aires,
6443,Arano,Buenos Aires,
6643,Araujo,Buenos Aires,
6557,Arboledas,Buenos Aires,
1915,Arbuco (Desvio Fcgr),Buenos Aires,
6005,Arenales,Buenos Aires,
6075,Arenaza,Buenos Aires,
8134,Argerich,Buenos Aires,
8164,Arguedas (Desvio),Buenos Aires,
7163,Arias,Buenos Aires,
7301,Ariel,Buenos Aires,
1602,Aristobulo Del Valle,Buenos Aires,
2740,Arrecifes,Buenos Aires,
6007,Arribeños,Buenos Aires,
1649,Arroyo Abra Vieja,Buenos Aires,
1649,Arroyo Aguaje Del Durazno,Buenos Aires,
8174,Arroyo Aguas Blancas,Buenos Aires,
2800,Arroyo Aguila Negra,Buenos Aires,
1649,Arroyo Albarracin,Buenos Aires,
2805,Arroyo Aleli,Buenos Aires,
1649,Arroyo Amantes,Buenos Aires,
1649,Arroyo Amarillo,Buenos Aires,
1649,Arroyo Amarillo Palmas,Buenos Aires,
1649,Arroyo Andresito,Buenos Aires,
1649,Arroyo Angelito,Buenos Aires,
1649,Arroyo Angostura,Buenos Aires,
1649,Arroyo Anguilas,Buenos Aires,
1649,Arroyo Animas,Buenos Aires,
1649,Arroyo Animitas,Buenos Aires,
1649,Arroyo Antequera,Buenos Aires,
1649,Arroyo Antequerita,Buenos Aires,
1649,Arroyo Arroyon,Buenos Aires,
1649,Arroyo Arroyon De Felicaria,Buenos Aires,
1649,Arroyo Baldosas,Buenos Aires,
1649,Arroyo Baltico,Buenos Aires,
1649,Arroyo Banco,Buenos Aires,
1649,Arroyo Barca Grande,Buenos Aires,
1649,Arroyo Boca Falsa,Buenos Aires,
1649,Arroyo Borasso,Buenos Aires,
1649,Arroyo Borches,Buenos Aires,
2800,Arroyo Botija Falsa,Buenos Aires,
1649,Arroyo Buena Vista,Buenos Aires,
2935,Arroyo Burgos,Buenos Aires,
1649,Arroyo Busto,Buenos Aires,
1649,Arroyo Caguane,Buenos Aires,
1649,Arroyo Camachito,Buenos Aires,
1649,Arroyo Camacho,Buenos Aires,
1649,Arroyo Canaleton,Buenos Aires,
1649,Arroyo Cancha Larga,Buenos Aires,
1625,Arroyo Canelon,Buenos Aires,
1649,Arroyo Canelones,Buenos Aires,
1649,Arroyo Capitan Chico,Buenos Aires,
1649,Arroyo Capitancito,Buenos Aires,
1649,Arroyo Caraballo,Buenos Aires,
1649,Arroyo Carabelas,Buenos Aires,
1649,Arroyo Carabelitas,Buenos Aires,
1649,Arroyo Caracoles,Buenos Aires,
1649,Arroyo Caraguata,Buenos Aires,
1649,Arroyo Carancho,Buenos Aires,
1649,Arroyo Carapuati,Buenos Aires,
1649,Arroyo Carlos M. Noel,Buenos Aires,
1649,Arroyo Carnicero,Buenos Aires,
1649,Arroyo Carpincho (Pdo. San Fernando),Buenos Aires,
1649,Arroyo Ciego,Buenos Aires,
1649,Arroyo Ciego Del Estudiante,Buenos Aires,
1649,Arroyo Cieguito,Buenos Aires,
1649,Arroyo Ciervo,Buenos Aires,
1649,Arroyo Concepcion,Buenos Aires,
1649,Arroyo Confiterito Palmas,Buenos Aires,
1649,Arroyo Confitero,Buenos Aires,
1649,Arroyo Correa,Buenos Aires,
1649,Arroyo Correntino,Buenos Aires,
1649,Arroyo Correntoso (Barca Grande),Buenos Aires,
8172,Arroyo Corto (Pdo. Saavedra),Buenos Aires,
1649,Arroyo Corto (Tigre - Pdo. Campana),Buenos Aires,
1649,Arroyo Cruces,Buenos Aires,
1649,Arroyo Cruz Colorada,Buenos Aires,
1649,Arroyo Cruz Del Cambado,Buenos Aires,
1649,Arroyo Cruz Del Sauce,Buenos Aires,
1649,Arroyo Cuarenta,Buenos Aires,
1649,Arroyo Cuevas Malas,Buenos Aires,
1649,Arroyo Curubica,Buenos Aires,
1649,Arroyo Chana,Buenos Aires,
1649,Arroyo Chanacillo,Buenos Aires,
1649,Arroyo Chanacito,Buenos Aires,
1649,Arroyo Chileno,Buenos Aires,
1649,Arroyo Chiquerito,Buenos Aires,
1649,Arroyo Chiquero,Buenos Aires,
1649,Arroyo Chivico,Buenos Aires,
1649,Arroyo Churrasco,Buenos Aires,
2813,Arroyo De La Cruz,Buenos Aires,
2805,Arroyo De Las Cruces,Buenos Aires,
1649,Arroyo De Las Gaviotas,Buenos Aires,
7301,Arroyo De Los Huesos,Buenos Aires,
1649,Arroyo De Los Nogales,Buenos Aires,
1649,Arroyo De Los Tigres,Buenos Aires,
2752,Arroyo De Luna,Buenos Aires,
1649,Arroyo Del Canal,Buenos Aires,
2113,Arroyo Del Medio,Buenos Aires,
1923,Arroyo Del Pescado,Buenos Aires,
1649,Arroyo Del Pobre,Buenos Aires,
1649,Arroyo Dentudo,Buenos Aires,
1649,Arroyo Desaguadero De Borches,Buenos Aires,
1649,Arroyo Desaguadero Del Sauce,Buenos Aires,
1649,Arroyo Desengaño,Buenos Aires,
1649,Arroyo Diablo,Buenos Aires,
1649,Arroyo Dominguito,Buenos Aires,
1649,Arroyo Dorado,Buenos Aires,
1649,Arroyo Dos Puntas,Buenos Aires,
2743,Arroyo Dulce,Buenos Aires,
1649,Arroyo Duraznito,Buenos Aires,
1649,Arroyo Durazno,Buenos Aires,
1649,Arroyo Eduardo,Buenos Aires,
2805,Arroyo El Ahogado,Buenos Aires,
1649,Arroyo El Cazador,Buenos Aires,
6437,Arroyo El Chingolo,Buenos Aires,
1649,Arroyo El Negro,Buenos Aires,
1649,Arroyo El Plata,Buenos Aires,
1649,Arroyo El Rodeo,Buenos Aires,
1647,Arroyo El Toro,Buenos Aires,
1649,Arroyo Espadaña,Buenos Aires,
1649,Arroyo Espera,Buenos Aires,
1649,Arroyo Espera Grande,Buenos Aires,
1649,Arroyo Esperita,Buenos Aires,
1649,Arroyo Estudiante,Buenos Aires,
1649,Arroyo Estudiante Chico,Buenos Aires,
1649,Arroyo Felicaria,Buenos Aires,
1649,Arroyo Felipe,Buenos Aires,
1649,Arroyo Felix,Buenos Aires,
1649,Arroyo Fermin,Buenos Aires,
1649,Arroyo Fontana,Buenos Aires,
1649,Arroyo Francisco,Buenos Aires,
1649,Arroyo Fredes,Buenos Aires,
1649,Arroyo Fulminante,Buenos Aires,
1649,Arroyo Galpon,Buenos Aires,
1649,Arroyo Gallito,Buenos Aires,
1649,Arroyo Gallo Fiambre,Buenos Aires,
1649,Arroyo Gambado,Buenos Aires,
1649,Arroyo Gaviotas,Buenos Aires,
1649,Arroyo Gelvez,Buenos Aires,
1649,Arroyo Glorieta,Buenos Aires,
1649,Arroyo Grande (Tigre - Pdo. San Fernando),Buenos Aires,
1649,Arroyo Guaycara,Buenos Aires,
1649,Arroyo Guazu Nambi,Buenos Aires,
1649,Arroyo Guazucito,Buenos Aires,
1649,Arroyo Gutierrez,Buenos Aires,
1649,Arroyo Hermana Grande,Buenos Aires,
1649,Arroyo Hermana Primera,Buenos Aires,
1649,Arroyo Hermana Segunda,Buenos Aires,
1649,Arroyo Idahone,Buenos Aires,
1649,Arroyo Inca,Buenos Aires,
1649,Arroyo La Barquita,Buenos Aires,
1649,Arroyo La Casilla,Buenos Aires,
1649,Arroyo La Castilla,Buenos Aires,
1649,Arroyo La Glorieta,Buenos Aires,
1649,Arroyo La Horca,Buenos Aires,
1649,Arroyo La Linda,Buenos Aires,
1923,Arroyo La Maza,Buenos Aires,
1649,Arroyo La Negra,Buenos Aires,
1649,Arroyo La Raya,Buenos Aires,
1649,Arroyo Laguna,Buenos Aires,
1649,Arroyo Laguna Grande,Buenos Aires,
1649,Arroyo Largo,Buenos Aires,
1649,Arroyo Las Baldosas,Buenos Aires,
1649,Arroyo Las Bogas,Buenos Aires,
1649,Arroyo Las Cañas,Buenos Aires,
1649,Arroyo Las Casas,Buenos Aires,
2805,Arroyo Las Cruces,Buenos Aires,
1649,Arroyo Las Naciones,Buenos Aires,
1649,Arroyo Las Piedras,Buenos Aires,
2805,Arroyo Las Rosas (Campana - Pdo. Campana),Buenos Aires,
1625,Arroyo Las Rosas (Escobar - Pdo. Escobar),Buenos Aires,
1649,Arroyo Las Rosas (Tigre - Pdo. Tigre),Buenos Aires,
1649,Arroyo Las Viboras,Buenos Aires,
1649,Arroyo Las Viudas,Buenos Aires,
1649,Arroyo Lazaro,Buenos Aires,
1649,Arroyo Leiva,Buenos Aires,
1649,Arroyo Lima,Buenos Aires,
1649,Arroyo Los Grillos,Buenos Aires,
1649,Arroyo Los Lobos (Pdo.San Fernando),Buenos Aires,
1649,Arroyo Los Negros,Buenos Aires,
2805,Arroyo Los Tigres,Buenos Aires,
1649,Arroyo Machado,Buenos Aires,
1649,Arroyo Malo,Buenos Aires,
1649,Arroyo Malvinas,Buenos Aires,
1649,Arroyo Manzano De La Barca,Buenos Aires,
1649,Arroyo Manzano De Medina,Buenos Aires,
1649,Arroyo Martinez (Tigre - Pdo. Tigre),Buenos Aires,
1649,Arroyo Medina,Buenos Aires,
1649,Arroyo Melindre,Buenos Aires,
1649,Arroyo Mendez Chico,Buenos Aires,
1649,Arroyo Mendez Grande,Buenos Aires,
1649,Arroyo Moran,Buenos Aires,
1649,Arroyo Morancito,Buenos Aires,
1649,Arroyo Moras,Buenos Aires,
1649,Arroyo Naciones,Buenos Aires,
2800,Arroyo Ñacurutu,Buenos Aires,
2805,Arroyo Ñacurutu Chico,Buenos Aires,
1649,Arroyo Naranjito,Buenos Aires,
1649,Arroyo Naranjo,Buenos Aires,
1649,Arroyo Naranjo Borches,Buenos Aires,
1649,Arroyo Negro (Tigre - Pdo. Campana),Buenos Aires,
2800,Arroyo Negro (Zarate - Pdo. Zarate),Buenos Aires,
1649,Arroyo Nogal,Buenos Aires,
1649,Arroyo Nueve De Julio,Buenos Aires,
1649,Arroyo Paciencia,Buenos Aires,
1649,Arroyo Pacifico (Capitan),Buenos Aires,
1649,Arroyo Pacifico (De La Serna),Buenos Aires,
1649,Arroyo Pacu,Buenos Aires,
1649,Arroyo Pajal,Buenos Aires,
1649,Arroyo Pajarito,Buenos Aires,
1649,Arroyo Pantanosito,Buenos Aires,
1649,Arroyo Pantanoso,Buenos Aires,
1649,Arroyo Paraguay,Buenos Aires,
8111,Arroyo Pareja,Buenos Aires,
1649,Arroyo Pati,Buenos Aires,
1649,Arroyo Paycarabi,Buenos Aires,
1649,Arroyo Paycarabicito,Buenos Aires,
2805,Arroyo Pesqueria,Buenos Aires,
1649,Arroyo Pineral,Buenos Aires,
1649,Arroyo Polvora,Buenos Aires,
1649,Arroyo Porfiado,Buenos Aires,
1649,Arroyo Primera Hermana,Buenos Aires,
1649,Arroyo Rama Negra,Buenos Aires,
1649,Arroyo Ramallo,Buenos Aires,
1649,Arroyo Raya,Buenos Aires,
1649,Arroyo Remancito (Mendez Grande),Buenos Aires,
1649,Arroyo Remancito (Carabelas),Buenos Aires,
1649,Arroyo Reyes,Buenos Aires,
1649,Arroyo Rico,Buenos Aires,
1649,Arroyo Rinconada,Buenos Aires,
1649,Arroyo Rodeo,Buenos Aires,
1649,Arroyo Romancito,Buenos Aires,
1649,Arroyo Romero,Buenos Aires,
1649,Arroyo Sabalos,Buenos Aires,
1649,Arroyo San Salvador,Buenos Aires,
1649,Arroyo Santa Rosa,Buenos Aires,
1649,Arroyo Santo Domingo,Buenos Aires,
1647,Arroyo Sarandi (San Fernando - Pdo. San Fernando),Buenos Aires,
1649,Arroyo Sarandi (Tigre - Pdo. Tigre),Buenos Aires,
1649,Arroyo Sauce Lloron,Buenos Aires,
1649,Arroyo Segunda Hermana,Buenos Aires,
1649,Arroyo Surubi,Buenos Aires,
2805,Arroyo Tajiber,Buenos Aires,
1649,Arroyo Tarariras,Buenos Aires,
1649,Arroyo Tela,Buenos Aires,
1649,Arroyo Tiber,Buenos Aires,
1649,Arroyo Tiburon,Buenos Aires,
1647,Arroyo Toledito,Buenos Aires,
1649,Arroyo Toledo (Palmas),Buenos Aires,
1649,Arroyo Toledo (Parana Mini),Buenos Aires,
1649,Arroyo Torito,Buenos Aires,
1649,Arroyo Toro,Buenos Aires,
1649,Arroyo Tres Sargentos,Buenos Aires,
1649,Arroyo Tuyupare,Buenos Aires,
1649,Arroyo Veinticinco De Noviembre,Buenos Aires,
6437,Arroyo Venado,Buenos Aires,
1649,Arroyo Veron,Buenos Aires,
1649,Arroyo Vico,Buenos Aires,
2805,Arroyo Zanjon,Buenos Aires,
1895,Arturo Segui,Buenos Aires,
6433,Arturo Vatteone,Buenos Aires,
6640,Asamblea,Buenos Aires,
6003,Ascension,Buenos Aires,
6469,Asturias,Buenos Aires,
6471,Atahualpa,Buenos Aires,
1913,Atalaya,Buenos Aires,
7116,Atilio Pessagno,Buenos Aires,
2808,Atucha,Buenos Aires,
7165,Autocamping El Pinar,Buenos Aires,
7105,Autocamping San Clemente,Buenos Aires,
1870,Avellaneda,Buenos Aires,
8133,Avestruz,Buenos Aires,
7150,Ayacucho,Buenos Aires,
6721,Azcuenaga,Buenos Aires,
8181,Azopardo,Buenos Aires,
7005,Azucena,Buenos Aires,
7300,Azul,Buenos Aires,
1825,A. A. Fernandez,Buenos Aires,
6516,Bacacay,Buenos Aires,
6403,Badano,Buenos Aires,
1808,Badiola,Buenos Aires,
8000,Bahia Blanca,Buenos Aires,291
8000,Bahia Blanca Noroeste,Buenos Aires,291
8506,Bahia San Blas,Buenos Aires,
6013,Baigorrita,Buenos Aires,
8115,Bajo Hondo,Buenos Aires,
7620,Balcarce,Buenos Aires,
7113,Balneario Aguas Verdes,Buenos Aires,
1744,Balneario Cascallares,Buenos Aires,
7505,Balneario Claromeco,Buenos Aires,
7609,Balneario Mar Chiquita,Buenos Aires,
8153,Balneario Monte Hermoso,Buenos Aires,
7511,Balneario Oceano,Buenos Aires,
7167,Balneario Ostende,Buenos Aires,
1802,Balneario Popular,Buenos Aires,
1931,Balneario Punta Lara,Buenos Aires,
7511,Balneario Reta,Buenos Aires,
8153,Balneario Sauce Grande,Buenos Aires,
8109,Balneario (Parada),Buenos Aires,
6070,Balsa,Buenos Aires,
7305,Bañado De Las Flores,Buenos Aires,
1617,Bancalari,Buenos Aires,
6244,Banderalo,Buenos Aires,
1828,Banfield,Buenos Aires,
2942,Baradero,Buenos Aires,
7005,Barker,Buenos Aires,
7247,Barrientos,Buenos Aires,
2700,Barrio 25 De Mayo,Buenos Aires,
2700,Barrio Acevedo,Buenos Aires,
7600,Barrio Alfar,Buenos Aires,223
1617,Barrio Almte. Brown,Buenos Aires,
1665,Barrio Altos De Jose C.Paz,Buenos Aires,
1757,Barrio Altos De Laferrere,Buenos Aires,
1806,Barrio Altos De Tristan Suarez,Buenos Aires,
1665,Barrio Antartida Argentina,Buenos Aires,
1763,Barrio Apolo,Buenos Aires,
1607,Barrio Arca,Buenos Aires,
1742,Barrio Arco Iris,Buenos Aires,
1665,Barrio Argital,Buenos Aires,
1852,Barrio Arzeno,Buenos Aires,
1847,Barrio Asuncion,Buenos Aires,
8000,Barrio Avellaneda,Buenos Aires,291
1708,Barrio Aviacion,Buenos Aires,
1804,Barrio A.T.E.,Buenos Aires,
1611,Barrio Baires,Buenos Aires,
7630,Barrio Banco Provincia,Buenos Aires,
1663,Barrio Barilari,Buenos Aires,
7601,Barrio Batan,Buenos Aires,
1619,Barrio Beliera,Buenos Aires,
1642,Barrio Boating Club,Buenos Aires,
7600,Barrio Bosque Alegre,Buenos Aires,223
1759,Barrio Calderon De La Barca,Buenos Aires,
2900,Barrio Carcel,Buenos Aires,
6000,Barrio Carosio,Buenos Aires,236
7600,Barrio Caisamar,Buenos Aires,223
1744,Barrio Cascallares,Buenos Aires,
7300,Barrio Ceferino Namuncura,Buenos Aires,
1884,Barrio Centenario,Buenos Aires,
2741,Barrio Central,Buenos Aires,
7630,Barrio Centro,Buenos Aires,
1888,Barrio Cinco Esquinas,Buenos Aires,
8109,Barrio Ciudad Atlantida,Buenos Aires,
2930,Barrio Cobos,Buenos Aires,
7600,Barrio Colinas De Peralta Ramos,Buenos Aires,223
1763,Barrio Colonia San Lorenzo,Buenos Aires,
7600,Barrio Constitucion,Buenos Aires,223
1888,Barrio Cortez,Buenos Aires,
1663,Barrio Cortijo Nuevo,Buenos Aires,
1667,Barrio Chelito,Buenos Aires,
1657,Barrio Churruca,Buenos Aires,
6600,Barrio De La Carcel,Buenos Aires,
1708,Barrio De La Merced,Buenos Aires,
7600,Barrio De Las Avenidas,Buenos Aires,223
1659,Barrio De Suboficiales Sargento Cabral (Apeadero F.C.G.U.),Buenos Aires,
1806,Barrio Del Plata,Buenos Aires,
2900,Barrio Destileria,Buenos Aires,
1615,Barrio Devoto,Buenos Aires,
1611,Barrio Doctor Ricardo Gutierrez,Buenos Aires,
2914,Barrio Don Antonio,Buenos Aires,
7600,Barrio Don Bosco,Buenos Aires,223
1854,Barrio Don Luis,Buenos Aires,
1852,Barrio Doña Sol,Buenos Aires,
1881,Barrio Draimar,Buenos Aires,
1881,Barrio Dreymar Ii,Buenos Aires,
1765,Barrio San Miguel,Buenos Aires,
1889,Barrio El 36,Buenos Aires,
1765,Barrio El Atalaya,Buenos Aires,
1617,Barrio El Boyero,Buenos Aires,
8109,Barrio El Castillo,Buenos Aires,
1663,Barrio El Cortijo,Buenos Aires,
1900,Barrio El Cruce,Buenos Aires,221
1686,Barrio El Destino,Buenos Aires,
1617,Barrio El Embrujo,Buenos Aires,
1663,Barrio El Faro,Buenos Aires,
1852,Barrio El Hornero,Buenos Aires,
7130,Barrio El Hueco,Buenos Aires,
1613,Barrio El Jaguel,Buenos Aires,
1613,Barrio El Lucero,Buenos Aires,
1765,Barrio El Manzanar,Buenos Aires,
1759,Barrio El Mojon,Buenos Aires,
1884,Barrio El Once,Buenos Aires,
1891,Barrio El Parque,Buenos Aires,
1849,Barrio El Patronato,Buenos Aires,
1617,Barrio El Perejil,Buenos Aires,
1722,Barrio El Pericon,Buenos Aires,
1915,Barrio El Porteño,Buenos Aires,
1746,Barrio El Porvenir,Buenos Aires,
1882,Barrio El Refugio,Buenos Aires,
2741,Barrio El Retiro,Buenos Aires,
1849,Barrio El Trebol,Buenos Aires,
1617,Barrio El Zorzal,Buenos Aires,
7600,Barrio Emir Ramon Juarez,Buenos Aires,223
1617,Barrio Enrique Delfino,Buenos Aires,
1763,Barrio Esperanza,Buenos Aires,
7100,Barrio Estacion Dolores,Buenos Aires,
7631,Barrio Estacion Quequen,Buenos Aires,
1802,Barrio Esteban Echeverria,Buenos Aires,
7600,Barrio Faro Norte,Buenos Aires,223
1617,Barrio Ferrini,Buenos Aires,
1882,Barrio Ferroviario,Buenos Aires,
6620,Barrio Florencio Varela,Buenos Aires,
7600,Barrio Florentino Ameghino,Buenos Aires,223
1665,Barrio Frino,Buenos Aires,
1623,Barrio Garin Norte,Buenos Aires,
7600,Barrio Gastronomico,Buenos Aires,223
1746,Barrio General Guemes,Buenos Aires,
2700,Barrio General Manuel Belgrano,Buenos Aires,
2901,Barrio General Manuel Savio,Buenos Aires,
1642,Barrio General Pueyrredon,Buenos Aires,
7600,Barrio General Roca,Buenos Aires,223
6000,Barrio General San Martin,Buenos Aires,236
1772,Barrio General Jose M. Paz,Buenos Aires,
1856,Barrio Gorriti,Buenos Aires,
1842,Barrio Grande,Buenos Aires,
1900,Barrio Hipodromo,Buenos Aires,221
1878,Barrio Hornos,Buenos Aires,
1763,Barrio Ignacio Arieta,Buenos Aires,
1759,Barrio Independencia,Buenos Aires,
6400,Barrio Indio Trompa,Buenos Aires,
1615,Barrio Iparraguirre,Buenos Aires,
1665,Barrio Irigoin,Buenos Aires,
1884,Barrio Jacaranda,Buenos Aires,
1744,Barrio Jardines De Moreno,Buenos Aires,
1686,Barrio Jhonson,Buenos Aires,
1744,Barrio Jose A. Cortejarena,Buenos Aires,
2700,Barrio Jose Hernandez,Buenos Aires,
1778,Barrio Jose Ingenieros,Buenos Aires,
7600,Barrio Jose Manuel Estrada,Buenos Aires,223
7600,Barrio Juan Gregorio De Las Heras,Buenos Aires,223
6500,Barrio Julio De Vedia,Buenos Aires,
7600,Barrio Juramento,Buenos Aires,223
1619,Barrio Kilometro 48,Buenos Aires,
8000,Barrio Kilometro 5,Buenos Aires,291
1708,Barrio La Cabaña,Buenos Aires,
1852,Barrio La Carlota,Buenos Aires,
1891,Barrio La Carolina,Buenos Aires,
1980,Barrio La Dolly,Buenos Aires,
1763,Barrio La Elvira,Buenos Aires,
1759,Barrio La Encarnacion,Buenos Aires,
1888,Barrio La Esmeralda,Buenos Aires,
1663,Barrio La Estrella,Buenos Aires,
8000,Barrio La Falda,Buenos Aires,291
1763,Barrio La Foresta,Buenos Aires,
1765,Barrio La Fragata,Buenos Aires,
1847,Barrio La Gloria,Buenos Aires,
1667,Barrio La Granja,Buenos Aires,
1849,Barrio La Jovita,Buenos Aires,
1759,Barrio La Justina,Buenos Aires,
1884,Barrio La Loma,Buenos Aires,
7400,Barrio La Luisa,Buenos Aires,
1763,Barrio La Mercedes,Buenos Aires,
1842,Barrio La Morita,Buenos Aires,
1664,Barrio La Nueva Estrella,Buenos Aires,
1894,Barrio La Perla,Buenos Aires,
1763,Barrio La Recoleta,Buenos Aires,
1742,Barrio La Reconquista,Buenos Aires,
1856,Barrio La Reforma,Buenos Aires,
1746,Barrio La Reja Grande,Buenos Aires,
1888,Barrio La Sirena,Buenos Aires,
1846,Barrio La Tablada,Buenos Aires,
1761,Barrio La Teja,Buenos Aires,
1746,Barrio La Tradicion,Buenos Aires,
1765,Barrio La Union,Buenos Aires,
1744,Barrio La Victoria,Buenos Aires,
1842,Barrio Landa,Buenos Aires,
1772,Barrio Las Achiras,Buenos Aires,
2930,Barrio Las Canaletas,Buenos Aires,
1665,Barrio Las Heras,Buenos Aires,
1890,Barrio Las Hermanas,Buenos Aires,
2900,Barrio Las Lomas,Buenos Aires,
1849,Barrio Las Malvinas,Buenos Aires,
1980,Barrio Las Mandarinas,Buenos Aires,
1838,Barrio Las Moreras,Buenos Aires,
1759,Barrio Las Nieves,Buenos Aires,
1744,Barrio Las Rosas,Buenos Aires,
1849,Barrio Las Tunas,Buenos Aires,
1763,Barrio Leloir De Quiroga,Buenos Aires,
1655,Barrio Libertador,Buenos Aires,
1838,Barrio Lindo,Buenos Aires,
8000,Barrio Loma Paraguaya,Buenos Aires,291
1846,Barrio Loma Verde,Buenos Aires,
1854,Barrio Los Alamos,Buenos Aires,
7600,Barrio Los Andes,Buenos Aires,223
1619,Barrio Los Cachorros,Buenos Aires,
1765,Barrio Los Cedros,Buenos Aires,
1744,Barrio Los Cuatro Vientos,Buenos Aires,
1667,Barrio Los Gallitos,Buenos Aires,
1744,Barrio Los Limones,Buenos Aires,
1884,Barrio Los Manzanos,Buenos Aires,
1663,Barrio Los Nogales,Buenos Aires,
1664,Barrio Los Paraisos,Buenos Aires,
1884,Barrio Los Troncos,Buenos Aires,
1617,Barrio Los Troncos Del Talar,Buenos Aires,
1722,Barrio Los Vascos,Buenos Aires,
2804,Barrio Lubo,Buenos Aires,
1884,Barrio Luchetti,Buenos Aires,
1806,Barrio Lujan,Buenos Aires,
8000,Barrio Maldonado,Buenos Aires,291
2700,Barrio Malvinas Argrentinas,Buenos Aires,
7109,Barrio Mar De Ajo Norte,Buenos Aires,
1746,Barrio Maravilla Del Oeste,Buenos Aires,
1765,Barrio Marconi,Buenos Aires,
1714,Barrio Marina,Buenos Aires,
1886,Barrio Maritimo,Buenos Aires,
1663,Barrio Martin Fierro,Buenos Aires,
7300,Barrio Martin Guemes,Buenos Aires,
1842,Barrio Martinez Moreno,Buenos Aires,
1661,Barrio Mayor Irusta,Buenos Aires,
1888,Barrio Monte Cudine,Buenos Aires,
1842,Barrio Monte Chico,Buenos Aires,
1842,Barrio Montecarlo,Buenos Aires,
1888,Barrio Monteverde,Buenos Aires,
1759,Barrio Nahuel,Buenos Aires,
1888,Barrio Nobile,Buenos Aires,
8000,Barrio Noroeste,Buenos Aires,291
1663,Barrio Norte Sarmiento,Buenos Aires,
2900,Barrio Novamur,Buenos Aires,
1842,Barrio Nuestras Malvinas,Buenos Aires,
7630,Barrio Nuestro Hogar,Buenos Aires,
7630,Barrio Nueva Pompeya,Buenos Aires,
1661,Barrio Obligado,Buenos Aires,
